478200,2,23278589.19,23278591.55,122329812.7,91350194.27
478200,7,25356546.14,25356550.25,133249553.1,99504555.52
478200,8,22593842.7,22593845.14,118731447.9,88663092.3
478200,11,25093508.01,25093509.11,131867287.9,98472332.78
478200,25,26227740.7,26227745.04,137827697.8,102923293.6
478200,30,23926392.88,23926396.52,125734057,93892334.78
478200,36,27194026.01,27194031.77,142905576.7,106715229.8
478220,2,23280340.21,23280342.6,122339014.7,91357065.9
478220,7,25352440.88,25352445,133227979.9,99488445.65
478220,8,22600471.72,22600474.02,118766282.5,88689105.2
478220,11,25090445.08,25090445.3,131851189,98460310.91
478220,25,26236390.18,26236394.64,137873151.1,102957236
478220,30,23919641.52,23919645.01,125698577.5,93865840.37
478220,36,27183912.81,27183919.2,142852433.3,106675544.9
478240,2,23282108.98,23282111.45,122348310,91364007.23
478240,7,25348369.14,25348373.14,133206582.5,99472467.11
478240,8,22607130.95,22607133.37,118801278,88715238.14
478240,11,25087417.39,25087417.61,131835278.5,98448429.71
478240,25,26245044.04,26245048.59,137918627.8,102991195.8
478240,30,23912904.52,23912908.25,125663175.2,93839403.55
478240,36,27173813.22,27173819.12,142799358.1,106635910.8
478260,2,23283895.5,23283897.97,122357698.2,91371017.92
478260,7,25344330.66,25344334.88,133185361.1,99456619.91
478260,8,22613820.81,22613823.22,118836433.6,88741490.7
478260,11,25084425.41,25084425.79,131819556.3,98436689.12
478260,25,26253702.54,26253706.89,137964127.5,103025172.9
478260,30,23906182.44,23906185.95,125627849.6,93813024.1
478260,36,27163726.38,27163732.38,142746351.4,106596327.9
478280,2,23285699.72,23285702.13,122367179.2,91378097.89
478280,7,25340325.81,25340330.09,133164315.8,99440904.3
478280,8,22620541.1,22620543.51,118871749,88767862.63
478280,11,25081469.61,25081469.68,131804022.7,98425089.44
478280,25,26262364.61,26262369.43,138009650.1,103059167
478280,30,23899474.77,23899478.45,125592601,93786702.08
478280,36,27153652.7,27153658.81,142693413.9,106556796.7
478300,2,23287521.49,23287523.88,122376752.8,91385247
478300,7,25336354.71,25336359.04,133143447.1,99425320.51
478300,8,22627291.88,22627294.19,118907224,88794353.7
478300,11,25078549.31,25078549.9,131788678.1,98413630.83
478300,25,26271032.15,26271036.44,138055195.3,103093178
478300,30,23892781.8,23892785.44,125557429.3,93760437.5
478300,36,27143592.56,27143598.39,142640546.3,106517317.6
478320,2,23289360.91,23289363.27,122386418.8,91392465.11
478320,7,25332417.2,25332421.39,133122755.2,99409868.75
478320,8,22634072.91,22634075.13,118942858.2,88820963.64
478320,11,25075665.37,25075665.67,131773522.7,98402313.51
478320,25,26279703.31,26279707.76,138100763,103127205.8
478320,30,23886103.42,23886107.09,125522334.5,93734230.36
478320,36,27133545.44,27133551.33,142587749.1,106477891.1
478340,2,23291217.88,23291220.21,122396177,91399752.11
478340,7,25328513.4,25328517.56,133102240.4,99394549.29
478340,8,22640884.06,22640886.38,118978651.3,88847692.23
478340,11,25072817.45,25072817.93,131758556.8,98391137.68
478340,25,26288378.59,26288383.33,138146353.1,103161250.4
478340,30,23879439.66,23879443.38,125487316.6,93708080.68
478340,36,27123511.81,27123517.95,142535023,106438517.8
478360,2,23293092.19,23293094.66,122406027.3,91407107.83
478360,7,25324643.3,25324647.48,133081903,99379362.27
478360,8,22647725.48,22647727.74,119014602.8,88874539.15
478360,11,25070005.75,25070006.07,131743780.5,98380103.49
478360,25,26297058.53,26297062.95,138191965.4,103195311.5
478360,30,23872790.71,23872794.27,125452375.7,93681988.43
478360,36,27113491.94,27113498.02,142482368.6,106399198
478380,2,23294984.05,23294986.55,122415969.4,91414532.17
478380,7,25320806.98,25320811.28,133061743.3,99364307.94
478380,8,22654596.89,22654599.18,119050712.5,88901504.19
478380,11,25067230.02,25067230.31,131729194.2,98369211.14
478380,25,26305742.23,26305746.9,138237599.7,103229389.1
478380,30,23866156.27,23866159.88,125417511.7,93655953.66
478380,36,27103486.12,27103492.07,142429786.7,106359932.2
478400,2,23296893.42,23296895.9,122426003.2,91422024.96
478400,7,25317004.62,25317008.85,133041761.5,99349386.47
478400,8,22661498.4,22661500.71,119086980,88928587.02
478400,11,25064489.98,25064490.65,131714798.1,98358460.8
478400,25,26314430.63,26314435,138283255.8,103263482.9
478400,30,23859536.52,23859540.15,125382724.6,93629976.3
478400,36,27093493.7,27093499.98,142377277.7,106320721
478420,2,23298820.34,23298822.7,122436128.6,91429586.12
478420,7,25313236.02,25313240.39,133021958,99334598.15
478420,8,22668429.81,22668432.14,119123404.9,88955787.46
478420,11,25061787.41,25061787.54,131700592.4,98347852.69
478420,25,26323122.84,26323127.21,138328933.7,103297593
478420,30,23852931.33,23852935.02,125348014.5,93604056.45
478420,36,27083515.75,27083521.83,142324842.5,106281564.8
478440,2,23300764.48,23300766.91,122446345.3,91437215.46
478440,7,25309501.86,25309505.82,133002333,99319943.11
478440,8,22675391,22675393.47,119159986.9,88983105.18
478440,11,25059120.22,25059120.58,131686577.4,98337386.99
478440,25,26331819.08,26331823.46,138374633.1,103331719.2
478440,30,23846341.05,23846344.46,125313381.4,93578194.04
478440,36,27073551.66,27073557.66,142272481.5,106242464.1
478460,2,23302726.02,23302728.4,122456653.2,91444912.91
478460,7,25305801.21,25305805.32,132982886.8,99305421.61
478460,8,22682382.15,22682384.61,119196725.7,89010539.96
478460,11,25056489.59,25056490.01,131672753.4,98327063.9
478460,25,26340519.46,26340523.85,138420353.9,103365861.3
478460,30,23839765.16,23839768.7,125278825.2,93552389.13
478460,36,27063601.98,27063607.96,142220195.4,106203419.4
